gen	invalid	min_train	min_test	best_ind_length	avg_length	best_ind_nodes	avg_nodes	best_ind_depth	avg_depth	best_ind_used_codons	avg_used_codons	structural_diversity	fitness_diversity
0	0	0.0028687644297355278	nan	207	167.58713136729222	61	38.89008042895443	12	9.41823056300268	138	111.85254691689008	0.648	14.619047619047619
1	204	0.0028687644297355278	nan	207	216.64435146443515	61	19.97071129707113	12	10.472803347280335	138	55.30962343096234	0.414	9.428571428571429
2	237	0.0024718616327757455	nan	509	229.8894472361809	10	18.492462311557787	11	11.261306532663317	28	50.11557788944724	0.344	7.761904761904762
3	252	0.0024718616327757455	nan	509	217.3248730964467	10	16.756345177664976	11	11.269035532994923	28	43.66497461928934	0.346	8.0
4	277	0.0024718616327757455	nan	509	216.8830409356725	10	15.169590643274853	11	10.900584795321638	28	39.69590643274854	0.312	7.0
5	268	0.0024718616327757455	nan	509	221.05851063829786	10	13.867021276595745	11	10.898936170212766	28	36.015957446808514	0.338	7.809523809523809
6	300	0.0024718616327757455	nan	509	227.158940397351	10	12.933774834437086	11	10.7682119205298	28	32.794701986754966	0.274	6.380952380952381
7	281	0.0006151512341784479	nan	246	212.59060402684563	11	12.89261744966443	11	10.51006711409396	27	31.12751677852349	0.278	6.428571428571429
8	299	0.0006151512341784479	nan	246	227.46938775510205	11	12.73469387755102	11	10.07482993197279	27	31.87074829931973	0.272	6.333333333333333
9	308	0.0006151512341784479	nan	246	201.1578947368421	11	12.06766917293233	11	10.022556390977444	27	29.55639097744361	0.23	5.380952380952381
10	320	0.0006151512341784479	nan	246	176.9770992366412	11	12.198473282442748	11	9.13740458015267	27	29.099236641221374	0.21	4.9523809523809526
11	334	0.0006151512341784479	nan	246	207.3	11	12.669230769230769	11	9.561538461538461	27	30.16923076923077	0.21	4.809523809523809
12	321	0.0006151512341784479	nan	246	194.56923076923076	11	13.146153846153846	11	9.523076923076923	27	31.49230769230769	0.194	4.476190476190476
13	339	0.0006151512341784479	nan	246	199.88990825688074	11	12.036697247706423	11	9.229357798165138	27	29.3302752293578	0.158	3.6666666666666665
14	327	0.0006151512341784479	nan	246	225.0593220338983	11	11.59322033898305	11	9.5	27	27.728813559322035	0.18	4.190476190476191
15	325	0.0006151512341784479	nan	246	221.54285714285714	11	10.60952380952381	11	9.17142857142857	27	25.466666666666665	0.164	3.9047619047619047
16	324	0.0006151512341784479	nan	246	209.81372549019608	11	9.843137254901961	11	8.676470588235293	27	23.754901960784313	0.156	3.6666666666666665
17	323	0.0006151512341784479	nan	246	250.08080808080808	11	10.808080808080808	11	8.95959595959596	27	25.303030303030305	0.156	3.7142857142857144
18	336	0.0006151512341784479	nan	246	207.07608695652175	11	10.119565217391305	11	8.065217391304348	27	23.619565217391305	0.14	3.2857142857142856
19	334	0.0006151512341784479	nan	246	227.68627450980392	11	11.941176470588236	11	9.392156862745098	27	28.274509803921568	0.164	3.9047619047619047
20	335	0.0006151512341784479	nan	246	211.7171717171717	11	12.797979797979798	11	9.616161616161616	27	29.818181818181817	0.15	3.5714285714285716
21	316	0.0006151512341784479	nan	246	227.89430894308944	11	11.723577235772357	11	9.414634146341463	27	28.284552845528456	0.18	4.285714285714286
22	339	0.0006151512341784479	nan	246	230.325	11	9.433333333333334	11	8.341666666666667	27	21.9	0.16	3.8095238095238093
23	359	0.0006151512341784479	nan	246	226.41121495327104	11	12.373831775700934	11	9.63551401869159	27	28.121495327102803	0.154	3.619047619047619
24	365	0.0006151512341784479	nan	246	221.24	11	11.32	11	9.47	27	26.74	0.152	3.5714285714285716
25	344	0.0006151512341784479	nan	246	223.42241379310346	11	9.982758620689655	11	9.206896551724139	27	23.50862068965517	0.184	4.380952380952381
26	343	0.0006151512341784479	nan	246	252.37391304347827	11	8.130434782608695	11	8.321739130434782	27	18.46086956521739	0.17	4.0476190476190474
27	335	0.0006151512341784479	nan	246	240.8828125	11	11.25	11	9.46875	27	25.8046875	0.196	4.666666666666667
28	357	0.0006151512341784479	nan	680	221.75438596491227	11	11.070175438596491	11	9.342105263157896	27	25.464912280701753	0.164	3.9047619047619047
29	365	0.0006151512341784479	nan	680	244.22429906542055	11	12.785046728971963	11	10.158878504672897	27	29.672897196261683	0.154	3.619047619047619
30	384	0.0006151512341784479	nan	680	268.68131868131866	11	12.637362637362637	11	9.945054945054945	27	28.35164835164835	0.146	3.4761904761904763
31	383	0.0006151512341784479	nan	680	257.032967032967	11	8.593406593406593	11	8.67032967032967	27	19.395604395604394	0.14	3.2857142857142856
32	394	0.0006151512341784479	nan	680	208.98648648648648	11	10.108108108108109	11	8.054054054054054	27	21.716216216216218	0.1	2.380952380952381
33	388	0.0006151512341784479	nan	680	221.97435897435898	11	8.23076923076923	11	7.538461538461538	27	17.76923076923077	0.1	2.380952380952381
34	376	0.0006151512341784479	nan	680	225.96907216494844	11	7.56701030927835	11	7.092783505154639	27	16.298969072164947	0.126	2.9523809523809526
35	396	0.0006151512341784479	nan	680	206.1267605633803	11	9.014084507042254	11	8.098591549295774	27	20.028169014084508	0.1	2.380952380952381
36	392	0.0006151512341784479	nan	680	202.46575342465752	11	8.301369863013699	11	7.301369863013699	27	17.958904109589042	0.092	2.1904761904761907
37	378	0.0006151512341784479	nan	680	201.25925925925927	11	7.666666666666667	11	7.283950617283951	27	17.14814814814815	0.098	2.3333333333333335
38	374	0.0006151512341784479	nan	680	207.66233766233765	11	8.181818181818182	11	7.12987012987013	27	17.7012987012987	0.094	2.238095238095238
39	375	0.0006151512341784479	nan	680	238.04615384615386	11	6.384615384615385	11	6.4	27	13.830769230769231	0.076	1.8095238095238095
40	376	0.0006151512341784479	nan	680	216.82432432432432	11	7.513513513513513	11	7.216216216216216	27	15.932432432432432	0.098	2.3333333333333335
41	356	0.0006151512341784479	nan	680	246.5505617977528	11	7.202247191011236	11	6.696629213483146	27	15.730337078651685	0.108	2.5714285714285716
42	358	0.0006151512341784479	nan	680	220.20987654320987	11	6.580246913580247	11	6.283950617283951	27	14.74074074074074	0.082	1.9523809523809523
43	376	0.0006151512341784479	nan	680	216.93406593406593	11	6.604395604395604	11	6.65934065934066	27	14.31868131868132	0.096	2.2857142857142856
44	371	0.0006151512341784479	nan	680	232.375	11	8.761363636363637	11	7.215909090909091	27	18.545454545454547	0.102	2.380952380952381
45	383	0.0006151512341784479	nan	680	297.1	11	7.175	11	7.3	27	15.5125	0.098	2.3333333333333335
46	366	0.0006151512341784479	nan	680	259.7473684210526	11	6.4	11	6.442105263157894	27	13.789473684210526	0.12	2.8095238095238093
47	366	0.0006151512341784479	nan	680	227.8556701030928	11	6.938144329896907	11	6.865979381443299	27	14.969072164948454	0.126	3.0
48	369	0.0006151512341784479	nan	680	202.69411764705882	11	7.117647058823529	11	6.482352941176471	27	14.352941176470589	0.1	2.2857142857142856
49	380	0.0006151512341784479	nan	680	245.52941176470588	11	8.435294117647059	11	7.152941176470589	27	17.811764705882354	0.11	2.5714285714285716
50	369	0.0006151512341784479	nan	680	232.57647058823528	11	7.988235294117647	11	7.458823529411765	27	17.705882352941178	0.108	2.5714285714285716
